,,corr,yield,kl,Corr,KL,Yield,quality,activity,hand
0,0,0.4248891588440186,595.0,0.20067852117938234,0.42$\pm$0.23,0.20$\pm$0.04,595$\pm$154,>=0.0,<=0.3155g,left
1,0,0.3383328454207699,622.5,0.2079991856417704,0.34$\pm$0.22,0.21$\pm$0.04,622$\pm$151,>=0.0,<=0.3155g,right
2,0,0.4388429218612786,562.5,0.19810171207730848,0.44$\pm$0.23,0.20$\pm$0.04,562$\pm$146,>=0.05,<=0.3155g,left
3,0,0.35712694096418374,592.0,0.2056567134000022,0.36$\pm$0.22,0.21$\pm$0.04,592$\pm$144,>=0.05,<=0.3155g,right
4,0,0.48944269123826206,401.0,0.1884437377869371,0.49$\pm$0.24,0.19$\pm$0.04,401$\pm$140,>=0.1,<=0.3155g,left
5,0,0.4017954600106225,439.0,0.20011880069764318,0.40$\pm$0.23,0.20$\pm$0.04,439$\pm$134,>=0.1,<=0.3155g,right
6,0,0.510850305917657,275.0,0.17814884709094805,0.51$\pm$0.24,0.18$\pm$0.05,275$\pm$112,>=0.15,<=0.3155g,left
7,0,0.44569344015959006,283.0,0.18890221164882445,0.45$\pm$0.24,0.19$\pm$0.04,283$\pm$111,>=0.15,<=0.3155g,right
8,0,0.5543401070865042,193.0,0.1675227514825907,0.55$\pm$0.24,0.17$\pm$0.05,193$\pm$98,>=0.2,<=0.3155g,left
9,0,0.4960454135240196,195.0,0.17389080199601337,0.50$\pm$0.25,0.17$\pm$0.05,195$\pm$100,>=0.2,<=0.3155g,right
10,0,0.6248204192778475,160.0,0.15333813394607324,0.62$\pm$0.24,0.15$\pm$0.06,160$\pm$92,>=0.25,<=0.3155g,left
11,0,0.5574638456626609,157.0,0.16291611881845253,0.56$\pm$0.24,0.16$\pm$0.05,157$\pm$88,>=0.25,<=0.3155g,right
12,0,0.625022075330109,141.0,0.1444653469841189,0.63$\pm$0.23,0.14$\pm$0.05,141$\pm$87,>=0.3,<=0.3155g,left
13,0,0.562272818170334,135.5,0.15555717640833952,0.56$\pm$0.23,0.16$\pm$0.06,136$\pm$77,>=0.3,<=0.3155g,right
14,0,0.6378389221792031,127.0,0.13303905099142374,0.64$\pm$0.24,0.13$\pm$0.05,127$\pm$82,>=0.35,<=0.3155g,left
15,0,0.6278239091228396,125.0,0.14601661106679092,0.63$\pm$0.25,0.15$\pm$0.06,125$\pm$70,>=0.35,<=0.3155g,right
16,0,0.6381921629640227,124.0,0.12423960568602611,0.64$\pm$0.24,0.12$\pm$0.05,124$\pm$74,>=0.4,<=0.3155g,left
17,0,0.6366590195319483,111.5,0.13493926325289118,0.64$\pm$0.26,0.13$\pm$0.05,112$\pm$66,>=0.4,<=0.3155g,right
18,0,0.6546988097491404,112.5,0.11783052109436387,0.65$\pm$0.27,0.12$\pm$0.05,112$\pm$66,>=0.45,<=0.3155g,left
19,0,0.6766530801364933,105.0,0.12919307345012018,0.68$\pm$0.21,0.13$\pm$0.05,105$\pm$66,>=0.45,<=0.3155g,right
20,0,0.6800878118989516,107.0,0.11217122183553777,0.68$\pm$0.28,0.11$\pm$0.05,107$\pm$63,>=0.5,<=0.3155g,left
21,0,0.6834357228810395,98.0,0.11897169004324272,0.68$\pm$0.21,0.12$\pm$0.05,98$\pm$61,>=0.5,<=0.3155g,right
22,0,0.6800048394664049,104.5,0.10284630400169949,0.68$\pm$0.24,0.10$\pm$0.04,104$\pm$61,>=0.55,<=0.3155g,left
23,0,0.7044715786876885,90.0,0.11346141310245594,0.70$\pm$0.20,0.11$\pm$0.05,90$\pm$57,>=0.55,<=0.3155g,right
24,0,0.7014462655383049,102.0,0.09710767177201403,0.70$\pm$0.25,0.10$\pm$0.04,102$\pm$59,>=0.6,<=0.3155g,left
25,0,0.7018846714509256,85.0,0.11102947256878648,0.70$\pm$0.24,0.11$\pm$0.05,85$\pm$58,>=0.6,<=0.3155g,right
26,0,0.6950177744845267,91.0,0.09382119473842121,0.70$\pm$0.28,0.09$\pm$0.03,91$\pm$56,>=0.65,<=0.3155g,left
27,0,0.692861993492479,84.5,0.10287328317587344,0.69$\pm$0.24,0.10$\pm$0.04,84$\pm$54,>=0.65,<=0.3155g,right
28,0,0.6902263107300198,87.0,0.08656927533922716,0.69$\pm$0.31,0.09$\pm$0.03,87$\pm$54,>=0.7,<=0.3155g,left
29,0,0.714596997922799,82.0,0.09865007942983509,0.71$\pm$0.22,0.10$\pm$0.04,82$\pm$50,>=0.7,<=0.3155g,right
30,0,0.7307043386888128,89.0,0.08379584349227165,0.73$\pm$0.26,0.08$\pm$0.03,89$\pm$48,>=0.75,<=0.3155g,left
31,0,0.6737880950632307,78.5,0.09401052292342704,0.67$\pm$0.21,0.09$\pm$0.04,78$\pm$49,>=0.75,<=0.3155g,right
32,0,0.7301563962977591,78.5,0.08044569287610505,0.73$\pm$0.26,0.08$\pm$0.03,78$\pm$40,>=0.8,<=0.3155g,left
33,0,0.633809913747384,79.0,0.08947456801154355,0.63$\pm$0.23,0.09$\pm$0.03,79$\pm$49,>=0.8,<=0.3155g,right
