,quality,activity,hand,correlation,r2,mutual info,KL divergence,yield
0,0.0,0.3155g,left,0.4248891588440186,0.027223814689704362,0.0788123575913308,0.20067852117938234,595.0
1,0.0,0.3155g,right,0.3383328454207699,-0.08526216834772182,0.06741351433101936,0.2079991856417704,622.5
2,0.05,0.3155g,left,0.4388429218612786,0.039631230117266825,0.08927487762592454,0.19810171207730848,562.5
3,0.05,0.3155g,right,0.35712694096418374,-0.06391677355113745,0.07209476743872979,0.2056567134000022,592.0
4,0.1,0.3155g,left,0.48944269123826206,0.0752818275311683,0.10273635871554135,0.1884437377869371,401.0
5,0.1,0.3155g,right,0.4017954600106225,-0.017602918309702176,0.08249074184102936,0.20011880069764318,439.0
6,0.15,0.3155g,left,0.510850305917657,0.1048032757194236,0.1268602201851931,0.17814884709094805,275.0
7,0.15,0.3155g,right,0.44569344015959006,0.014580974859677354,0.10658323663646503,0.18890221164882445,283.0
8,0.2,0.3155g,left,0.5543401070865042,0.12783959665252775,0.1609960587863456,0.1675227514825907,193.0
9,0.2,0.3155g,right,0.4960454135240196,0.054885024216629996,0.13645665288174,0.17389080199601337,195.0
10,0.25,0.3155g,left,0.6248204192778475,0.1671111870777542,0.17782798332523467,0.15333813394607324,160.0
11,0.25,0.3155g,right,0.5574638456626609,0.08830335602732886,0.1592235748119008,0.16291611881845253,157.0
12,0.3,0.3155g,left,0.625022075330109,0.16765472899234335,0.19241011243140616,0.1444653469841189,141.0
13,0.3,0.3155g,right,0.562272818170334,0.08019046644753652,0.17441824717765192,0.15555717640833952,135.5
14,0.35,0.3155g,left,0.6378389221792031,0.1275518303707901,0.2058220163111415,0.13303905099142374,127.0
15,0.35,0.3155g,right,0.6278239091228396,0.14488905400931884,0.19015883790923319,0.14601661106679092,125.0
16,0.4,0.3155g,left,0.6381921629640227,0.12348915878454647,0.2140401621881407,0.12423960568602611,124.0
17,0.4,0.3155g,right,0.6366590195319483,0.1411029324685773,0.20236223797840858,0.13493926325289118,111.5
18,0.45,0.3155g,left,0.6546988097491404,0.13627333973196648,0.20775796470818195,0.11783052109436387,112.5
19,0.45,0.3155g,right,0.6766530801364933,0.17447394375934833,0.2168228220776705,0.12919307345012018,105.0
20,0.5,0.3155g,left,0.6800878118989516,0.1668668297991297,0.22365844429851142,0.11217122183553777,107.0
21,0.5,0.3155g,right,0.6834357228810395,0.1429433419804591,0.23160261242234376,0.11897169004324272,98.0
22,0.55,0.3155g,left,0.6800048394664049,0.15050880274697492,0.22309909115442755,0.10284630400169949,104.5
23,0.55,0.3155g,right,0.7044715786876885,0.18416219405895895,0.25147240578819857,0.11346141310245594,90.0
24,0.6,0.3155g,left,0.7014462655383049,0.10096279866098878,0.22037654428154446,0.09710767177201403,102.0
25,0.6,0.3155g,right,0.7018846714509256,0.11437671540732519,0.2397269914944807,0.11102947256878648,85.0
26,0.65,0.3155g,left,0.6950177744845267,0.020177280663890462,0.21424133095754963,0.09382119473842121,91.0
27,0.65,0.3155g,right,0.692861993492479,0.09507566063727407,0.22320679843298563,0.10287328317587344,84.5
28,0.7,0.3155g,left,0.6902263107300198,0.0726173975815384,0.21951998142952664,0.08656927533922716,87.0
29,0.7,0.3155g,right,0.714596997922799,0.10458588730383689,0.2366156843911896,0.09865007942983509,82.0
30,0.75,0.3155g,left,0.7307043386888128,0.11729300356636613,0.23646797759863253,0.08379584349227165,89.0
31,0.75,0.3155g,right,0.6737880950632307,0.003710653289193122,0.21673864042859114,0.09401052292342704,78.5
32,0.8,0.3155g,left,0.7301563962977591,0.14969519240090023,0.24871302463469447,0.08044569287610505,78.5
33,0.8,0.3155g,right,0.633809913747384,-0.1288974309239942,0.1993412234463564,0.08947456801154355,79.0
