,,corr,yield,kl,Corr,KL,Yield,quality,activity,hand
9,0,0.4374403008297227,601.0,0.19736773615756628,0.44$\pm$0.23,0.20$\pm$0.04,601$\pm$152,>=0.0,<=0.3155g,left
19,0,0.45854758116539723,571.0,0.1929155533826639,0.46$\pm$0.22,0.19$\pm$0.04,571$\pm$144,>=0.05,<=0.3155g,left
29,0,0.4985983199773365,416.0,0.18575197227522866,0.50$\pm$0.23,0.19$\pm$0.04,416$\pm$136,>=0.1,<=0.3155g,left
39,0,0.5655590627014391,278.0,0.170242336994524,0.57$\pm$0.22,0.17$\pm$0.05,278$\pm$113,>=0.15,<=0.3155g,left
49,0,0.6235388954099432,193.5,0.15546354662158596,0.62$\pm$0.22,0.16$\pm$0.05,194$\pm$98,>=0.2,<=0.3155g,left
59,0,0.6831178375612053,157.5,0.1403830097808203,0.68$\pm$0.20,0.14$\pm$0.05,158$\pm$92,>=0.25,<=0.3155g,left
69,0,0.7007877138378841,137.0,0.1290469496394655,0.70$\pm$0.19,0.13$\pm$0.05,137$\pm$80,>=0.3,<=0.3155g,left
79,0,0.7400194976528325,125.0,0.12081445398371779,0.74$\pm$0.16,0.12$\pm$0.05,125$\pm$77,>=0.35,<=0.3155g,right
89,0,0.7682776937948809,117.0,0.1109067691759716,0.77$\pm$0.17,0.11$\pm$0.05,117$\pm$71,>=0.4,<=0.3155g,left
99,0,0.777168929331579,109.0,0.10382443283844242,0.78$\pm$0.16,0.10$\pm$0.04,109$\pm$66,>=0.45,<=0.3155g,left
109,0,0.7889213482895303,102.0,0.09751556413638725,0.79$\pm$0.16,0.10$\pm$0.04,102$\pm$63,>=0.5,<=0.3155g,left
119,0,0.7950978350951238,93.0,0.09346327549078545,0.80$\pm$0.16,0.09$\pm$0.04,93$\pm$62,>=0.55,<=0.3155g,left
129,0,0.792316953707229,96.0,0.08777879424577206,0.79$\pm$0.18,0.09$\pm$0.04,96$\pm$59,>=0.6,<=0.3155g,left
139,0,0.8006992122839794,89.0,0.08431241491361396,0.80$\pm$0.19,0.08$\pm$0.04,89$\pm$54,>=0.65,<=0.3155g,left
149,0,0.7918434511237935,84.0,0.07674412282911691,0.79$\pm$0.20,0.08$\pm$0.04,84$\pm$52,>=0.7,<=0.3155g,left
159,0,0.7888367970639636,82.0,0.07625095036844923,0.79$\pm$0.18,0.08$\pm$0.03,82$\pm$49,>=0.75,<=0.3155g,left
169,0,0.7783804042632155,79.0,0.07573619159351913,0.78$\pm$0.19,0.08$\pm$0.03,79$\pm$45,>=0.8,<=0.3155g,left
